timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv
2025-06-24T14:43:15.040444,11.3,66.6,86.5,31585578,190285190
2025-06-24T14:43:21.078129,2.3,66.6,86.5,31591230,190458611
2025-06-24T14:43:27.106298,20.8,67.3,86.5,31604584,190646342
2025-06-24T14:43:33.150050,4.4,67.2,86.5,31626272,190824808
2025-06-24T14:43:39.183986,1.6,67.2,86.5,31631412,190994138
2025-06-24T14:43:45.208651,10.8,67.5,86.5,31733887,191239369
2025-06-24T14:43:51.260211,16.0,67.7,86.5,31780277,192195757
2025-06-24T14:43:57.370575,27.8,67.5,86.5,31855070,192793323
2025-06-24T14:44:03.398159,19.3,67.5,86.5,31881522,193461267
